"UF","Ano","Mes","Qtde_Focos","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
43,2008,4,182,NA,NA,NA,NA,NA,NA,37.5649425,23.85,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,4,116,NA,NA,NA,NA,NA,NA,37.5649425,23.85,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,4,358,NA,NA,NA,NA,NA,NA,37.5649425,23.85,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,4,64,NA,NA,NA,NA,NA,NA,37.5649425,23.85,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,4,1,NA,NA,NA,NA,NA,NA,37.5649425,23.85,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,5,20,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
12,2008,5,23,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,5,12,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
14,2008,5,22,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,5,30,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
16,2008,5,0,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
17,2008,5,250,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
21,2008,5,101,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
22,2008,5,40,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
23,2008,5,0,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
24,2008,5,2,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,5,0,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,5,2,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,5,8,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,5,2,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,5,217,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,5,285,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,5,9,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,5,33,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,5,282,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,5,289,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,5,217,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,5,226,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,5,152,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,5,522,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,5,200,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,5,7,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,6,79,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
12,2008,6,18,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,6,42,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
14,2008,6,3,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,6,328,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
16,2008,6,2,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
17,2008,6,769,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
21,2008,6,687,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
22,2008,6,106,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
23,2008,6,6,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
24,2008,6,2,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,6,0,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,6,1,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,6,1,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,6,0,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,6,207,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,6,283,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,6,25,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,6,29,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,6,178,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,6,109,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,6,76,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,6,113,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,6,163,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,6,1147,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,6,209,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,6,11,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,7,475,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
12,2008,7,165,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,7,457,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
14,2008,7,0,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,7,3020,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
16,2008,7,4,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
17,2008,7,1008,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
21,2008,7,1542,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
22,2008,7,237,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
23,2008,7,13,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
24,2008,7,1,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,7,1,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,7,6,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,7,0,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,7,0,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,7,554,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,7,767,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,7,36,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,7,136,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,7,579,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,7,705,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,7,438,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,7,439,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,7,358,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,7,2497,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,7,552,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,7,39,NA,NA,NA,NA,NA,NA,34.1098517,21.63,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,8,2840,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
12,2008,8,1621,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,8,2538,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
14,2008,8,13,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,8,11035,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
16,2008,8,14,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
17,2008,8,1679,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
21,2008,8,1777,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
22,2008,8,532,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
23,2008,8,58,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
24,2008,8,4,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,8,3,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
26,2008,8,8,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
27,2008,8,3,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
28,2008,8,1,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
29,2008,8,1032,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
31,2008,8,1448,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
32,2008,8,57,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
33,2008,8,134,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
35,2008,8,489,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
41,2008,8,954,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
42,2008,8,585,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
43,2008,8,466,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
50,2008,8,823,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
51,2008,8,5259,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
52,2008,8,987,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
53,2008,8,71,NA,NA,NA,NA,NA,NA,37.25874781,24.88,NA,NA,NA,NA,NA,NA,NA,NA
11,2008,9,5122,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
12,2008,9,2947,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
13,2008,9,1716,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
14,2008,9,30,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
15,2008,9,9463,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
16,2008,9,133,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
17,2008,9,2937,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
21,2008,9,3575,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
22,2008,9,1572,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
23,2008,9,199,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
24,2008,9,21,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
25,2008,9,22,NA,NA,NA,NA,NA,NA,32.1158325,22.35,NA,NA,NA,NA,NA,NA,NA,NA
