"Ano","CodIbge","Latitude","Longitude","AreaKm2","Desmatada","Incremento","Floresta","Nuvem","NaoObservado","NaoFloresta","Hidrografia","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
2008,1301951,-6.72683,-67.90389,26042,120.1,1.5,21941.4,3687.2,1.5,3.3,288.5,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302009,-2.54458,-58.65656,4245,134.3,1.2,3362.6,419.3,0.8,155.6,172.4,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302108,-1.38598,-68.79404,57555,52.1,1.6,46307.7,9551.3,121.1,2.6,1520.2,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302207,-3.37471,-66.45025,19849,143.3,3.1,16920.6,1897.8,12,142.1,733.2,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302306,-4.50575,-68.24058,71756,228.3,4,67368.1,2890.9,9.6,97.6,1161.5,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302405,-8.38295,-65.70994,69672,3106.6,67,63519.3,798.1,8.8,1793.3,445.9,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302504,-3.27671,-60.71178,7381,756.6,2.2,3614.3,779.7,1.8,805.6,1423,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302553,-3.73889,-60.65552,4001,488.7,0.7,3021,97.7,0.2,106.3,287.1,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302603,-2.5729,-60.37242,11473,1232.1,3,8677.7,9.3,3.1,3,1547.8,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302702,-6.78709,-61.11001,48689,1468.9,41.5,42226.9,2.5,17.4,4146.5,826.8,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302801,-2.61234,-64.70305,17221,108.1,3.1,14629,26.8,5.8,604.6,1846.7,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1302900,-5.24148,-58.19462,40090,1279.8,20.1,36610.6,26.2,6.2,872.3,1294.9,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303007,-1.08094,-58.4439,14132,456.1,0.8,10746.5,1474.1,3,344.4,1107.9,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303106,-4.02487,-58.58633,5625,411.6,6.5,4485.8,13.9,1.7,281,431,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303205,-1.51628,-61.51599,38114,112.4,0.9,34939.2,1490.3,1.5,211.9,1358.7,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303304,-6.83379,-60.23604,41452,860.6,63,38048.3,152.5,27.8,1620.2,742.6,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303403,-2.78735,-56.68566,5958,949.5,4.6,1419.1,172.4,2.6,1133.2,2281.2,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303502,-7.76452,-68.19675,42877,210.3,3.2,39781.3,2597.6,2.3,23.7,261.8,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303536,-0.65847,-60.17004,25568,695.1,18.9,20483.1,957.7,9.2,1.1,3421.8,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303569,-2.50853,-59.60122,5838,559.6,7.1,5265.1,0.6,2.4,0,10.3,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303601,-0.25129,-64.98731,64130,207.2,1.3,58882.6,3381.4,79.7,950.8,628.3,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303700,-3.08079,-69.06723,12737,132.2,1.1,11272.5,704.6,86,90.4,451.3,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303809,0.35952,-68.17017,112476,1180.6,9.6,81066.1,27862.6,394.7,489.7,1482.3,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303908,-4.73714,-69.52392,20467,174.6,0.3,13082.3,6532.8,3.2,86.3,587.8,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1303957,-1.89625,-58.81001,10776,195.6,5.5,7983.6,1903.1,2.2,65.7,625.8,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1304005,-2.85099,-58.49614,3758,426.4,2.8,2192.5,410.5,1.2,128.7,598.7,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1304062,-4.02878,-69.69786,3343,154.5,1.1,834.5,2264.1,36.6,1.3,52,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1304104,-5.93398,-65.97188,90962,304.8,3.5,84286.6,2706.2,1.9,2161.1,1501.4,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1304203,-4.41301,-65.57764,24186,620.7,10.1,22033.7,634.2,3.8,168.9,724.7,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1304237,-2.57583,-67.47268,6619,81,0.3,5030.4,1122.4,2.1,67.4,315.7,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1304260,-3.20648,-65.43058,10448,239,6.8,9494.3,180.3,2.2,100.4,431.8,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1304302,-1.24938,-58.78714,28012,332.2,2.1,25340.2,1268,2.2,423,646.4,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2008,1304401,-2.8349,-57.83095,2915,93.6,0.6,129.7,1.4,0.3,1689.6,1000.4,NA,NA,NA,NA,NA,NA,20.71212,15.4,NA,NA,NA,NA,NA,NA,NA,NA
2009,1300029,-3.67425,-65.34586,6027,312.9,2,5467.5,79.5,1.5,38,127.6,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300060,-3.42104,-68.34925,4903,111.6,0.9,4339.6,15.4,0.3,222.5,213.6,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300086,-3.47332,-61.6709,2473,194.1,1.2,1980.2,44.6,0.5,34.6,219,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300102,-4.15477,-62.08065,5852,79.2,0.6,4215,481.8,0.7,640.6,434.7,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300144,-7.59202,-59.44152,54490,1685.1,64.2,51960.5,0,15.2,625,204.2,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300201,-5.67098,-71.72825,80005,234.8,1.5,70706.4,8318.1,333.3,16.5,395.9,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300300,-3.83163,-59.45109,7636,1213.5,9.9,4799.9,139.2,3.2,464.3,1015.9,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300409,-0.14071,-63.18572,124163,197.5,0.5,95068.6,7258.5,78.4,17060.1,4499.9,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300508,-3.13292,-57.23915,5760,764.7,2.7,2608,1019.2,3.4,408.6,956.1,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300607,-5.49767,-70.32124,9146,186.8,0.8,8236.7,500.5,17.2,0,204.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300631,-4.54242,-61.73805,17411,205.6,2.2,12831,2912.4,3.1,886.1,572.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300680,-3.15669,-57.90464,2588,200.8,0.1,539.4,587.8,1.5,852.8,405.7,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300706,-8.81858,-68.00168,22595,2003.2,24.6,19841.7,565.8,1.9,58.4,124,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300805,-5.33176,-59.23777,44452,515,2.7,41358.7,140.1,13,586.5,1838.7,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300839,-3.0546,-61.93934,9550,234.5,2.2,8449.2,255.4,1.4,181.9,427.6,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1300904,-7.45596,-63.90278,30278,901.1,14,28078.3,8.2,5.3,988.3,296.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301001,-5.17242,-67.49476,26469,290.3,0.7,25664.8,94.2,7.1,12.7,399.9,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301100,-3.749,-60.14701,6127,1099.4,5.7,4625.8,2.8,1.4,80.7,316.9,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301159,-3.30477,-59.55597,2641,494.6,5.6,772.1,37.7,0.8,707.8,628,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301209,-4.03545,-63.53466,58828,760.4,0.6,53422.3,1057.8,2.6,823.1,2761.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301308,-3.12907,-63.20401,18944,260.3,1.3,16151.8,359.8,2.1,729.2,1440.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301407,-7.04074,-70.12601,15608,366.1,1.7,14825.2,57.7,5.2,172.1,181.7,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301506,-7.61678,-70.19515,7793,242.9,6.1,7295,186.8,5.4,0.1,62.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301605,-2.54594,-66.9133,12392,97.6,0.8,11320,4.7,3.1,154.1,812.5,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301654,-7.25158,-72.74345,7984,459.4,2,7071.4,239.1,0,206.9,7.2,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301704,-7.51084,-62.5992,33428,666.5,5.1,28858.6,0.4,2,3116.3,784.2,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301803,-7.14334,-71.42004,12595,208.6,0.8,12172.3,76.7,0.6,66.6,70.2,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301852,-3.08591,-60.66479,2229,472.9,8,1317.3,0,2.1,132.9,303.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301902,-3.13511,-58.81276,8927,1700.8,5.5,4317.2,410.3,3.8,829.3,1665.6,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1301951,-6.72683,-67.90389,26042,121.2,1,23385.3,2242.2,1.5,3.3,288.5,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302009,-2.54458,-58.65656,4245,134.5,0.3,3636.3,145.5,0.7,155.6,172.4,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302108,-1.38598,-68.79404,57555,52.7,0.6,50004.4,5864.5,110.6,2.6,1520.2,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302207,-3.37471,-66.45025,19849,145.2,1.9,18783.5,32.2,12.8,142.1,733.2,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302306,-4.50575,-68.24058,71756,229.2,0.9,63665.2,6594,8.5,97.6,1161.5,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302405,-8.38295,-65.70994,69672,3151.8,45.2,64082.8,180.4,17.8,1793.3,445.9,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302504,-3.27671,-60.71178,7381,771.5,14.9,4376.5,0.3,4.1,805.6,1423,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302553,-3.73889,-60.65552,4001,490.8,2.1,3116.7,0,0.1,106.3,287.1,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302603,-2.5729,-60.37242,11473,1235.7,3.6,8683.4,0,3.1,3,1547.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302702,-6.78709,-61.11001,48689,1499,30.1,40909.9,1289.3,17.5,4146.5,826.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302801,-2.61234,-64.70305,17221,108.7,0.6,14470.3,184.9,5.8,604.6,1846.7,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1302900,-5.24148,-58.19462,40090,1288.2,8.4,34027,2600.6,7,872.3,1294.9,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303007,-1.08094,-58.4439,14132,460.5,4.4,11909.4,306,3.8,344.4,1107.9,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303106,-4.02487,-58.58633,5625,413,1.4,4288.7,209.4,1.9,281,431,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303205,-1.51628,-61.51599,38114,114.2,1.9,34107.2,2320.2,1.8,211.9,1358.7,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303304,-6.83379,-60.23604,41452,876.5,15.9,37654.3,530.5,27.9,1620.2,742.6,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303403,-2.78735,-56.68566,5958,954.8,5.3,1302.8,282,4,1133.2,2281.2,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303502,-7.76452,-68.19675,42877,213.6,3.4,42253.5,122.1,2.3,23.7,261.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303536,-0.65847,-60.17004,25568,708.8,13.7,21383.3,43.5,9.5,1.1,3421.8,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303569,-2.50853,-59.60122,5838,560.9,1.3,5263.9,0.5,2.4,0,10.3,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303601,-0.25129,-64.98731,64130,207.3,0.1,57615.2,4649.6,78.8,950.8,628.3,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303700,-3.08079,-69.06723,12737,133.5,1.2,11821.5,164.6,75.7,90.4,451.3,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
2009,1303809,0.35952,-68.17017,112476,1185.2,4.6,94198.5,14730.8,389.5,489.7,1482.3,NA,NA,NA,NA,NA,NA,18.06239836,12.36,NA,NA,NA,NA,14.32510707,9.802592092,NA,NA
