"Ano","Mes","Dia","Fator.de.Emissao..tCO2.MWh.","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
2008,5,11,0.3881,NA,NA,NA,NA,NA,NA,38.410233,24.69,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,12,0.3385,NA,NA,NA,NA,NA,NA,38.410233,24.69,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,13,0.3388,NA,NA,NA,NA,NA,NA,38.052422,24.46,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,14,0.4194,NA,NA,NA,NA,NA,NA,37.461256,24.08,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,15,0.4387,NA,NA,NA,NA,NA,NA,38.27022,24.6,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,16,0.4551,NA,NA,NA,NA,NA,NA,37.896852,24.36,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,17,0.4651,NA,NA,NA,NA,NA,NA,37.896852,24.36,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,18,0.5487,NA,NA,NA,NA,NA,NA,37.896852,24.36,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,19,0.4751,NA,NA,NA,NA,NA,NA,38.628031,24.83,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,20,0.4546,NA,NA,NA,NA,NA,NA,38.659145,24.85,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,21,0.4267,NA,NA,NA,NA,NA,NA,39.079184,25.12,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,22,0.5023,NA,NA,NA,NA,NA,NA,39.592565,25.45,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,23,0.5076,NA,NA,NA,NA,NA,NA,39.468109,25.37,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,24,0.5221,NA,NA,NA,NA,NA,NA,39.468109,25.37,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,25,0.5334,NA,NA,NA,NA,NA,NA,39.468109,25.37,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,26,0.5052,NA,NA,NA,NA,NA,NA,39.98149,25.7,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,27,0.5025,NA,NA,NA,NA,NA,NA,40.417086,25.98,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,28,0.4796,NA,NA,NA,NA,NA,NA,40.245959,25.87,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,29,0.4769,NA,NA,NA,NA,NA,NA,40.525985,26.05,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,30,0.512,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,31,0.5782,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,1,0.5869,NA,NA,NA,NA,NA,NA,41.53719,26.7,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,2,0.5213,NA,NA,NA,NA,NA,NA,39.16185448,25.18,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,3,0.515,NA,NA,NA,NA,NA,NA,41.49476876,26.68,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,4,0.5506,NA,NA,NA,NA,NA,NA,40.87265829,26.28,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,5,0.5127,NA,NA,NA,NA,NA,NA,40.53049752,26.06,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,6,0.4737,NA,NA,NA,NA,NA,NA,42.07022095,27.05,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,7,0.4483,NA,NA,NA,NA,NA,NA,42.07022095,27.05,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,8,0.5707,NA,NA,NA,NA,NA,NA,42.07022095,27.05,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,9,0.5252,NA,NA,NA,NA,NA,NA,42.07022095,27.05,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,10,0.5384,NA,NA,NA,NA,NA,NA,41.63474362,26.77,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,11,0.5295,NA,NA,NA,NA,NA,NA,41.54142705,26.71,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,12,0.501,NA,NA,NA,NA,NA,NA,41.40145219,26.62,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,13,0.5392,NA,NA,NA,NA,NA,NA,41.09039695,26.42,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,14,0.5419,NA,NA,NA,NA,NA,NA,41.09039695,26.42,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,15,0.5677,NA,NA,NA,NA,NA,NA,41.09039695,26.42,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,16,0.48,NA,NA,NA,NA,NA,NA,42.36572343,27.24,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,17,0.5026,NA,NA,NA,NA,NA,NA,41.63474362,26.77,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,18,0.5002,NA,NA,NA,NA,NA,NA,41.89914057,26.94,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,19,0.5029,NA,NA,NA,NA,NA,NA,42.11687924,27.08,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,20,0.4955,NA,NA,NA,NA,NA,NA,41.58808533,26.74,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,21,0.4449,NA,NA,NA,NA,NA,NA,41.58808533,26.74,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,22,0.5446,NA,NA,NA,NA,NA,NA,41.58808533,26.74,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,23,0.5414,NA,NA,NA,NA,NA,NA,42.45904,27.3,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,24,0.5339,NA,NA,NA,NA,NA,NA,42.45904,27.3,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,25,0.5184,NA,NA,NA,NA,NA,NA,42.11687924,27.08,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,26,0.5175,NA,NA,NA,NA,NA,NA,42.42793448,27.28,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,27,0.5031,NA,NA,NA,NA,NA,NA,43.08115048,27.7,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,28,0.4665,NA,NA,NA,NA,NA,NA,43.08115048,27.7,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,29,0.5881,NA,NA,NA,NA,NA,NA,43.08115048,27.7,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,30,0.5139,NA,NA,NA,NA,NA,NA,43.93655238,28.25,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,1,0.5334,NA,NA,NA,NA,NA,NA,45.337875,28.75,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,2,0.5435,NA,NA,NA,NA,NA,NA,42.89357217,27.2,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,3,0.5605,NA,NA,NA,NA,NA,NA,42.86203278,27.18,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,4,0.5236,NA,NA,NA,NA,NA,NA,42.73587522,27.1,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,5,0.5171,NA,NA,NA,NA,NA,NA,42.73587522,27.1,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,6,0.578,NA,NA,NA,NA,NA,NA,42.73587522,27.1,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,7,0.4774,NA,NA,NA,NA,NA,NA,42.65702674,27.05,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,8,0.4263,NA,NA,NA,NA,NA,NA,40.21272391,25.5,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,9,0.4785,NA,NA,NA,NA,NA,NA,40.48080874,25.67,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,10,0.4289,NA,NA,NA,NA,NA,NA,41.55314804,26.35,NA,NA,NA,NA,NA,NA,NA,NA
