"UF","Ano","Abrangencia","CO2e","CO2","CH4","N2O","Canada_Quebec_Dolar","Canada_Quebec_Euro","Switzerland_Dolar","Switzerland_Euro","China_Dolar","China_Euro","Europe_Dolar","Europe_Euro","United_Kingdom_Dolar","United_Kingdom_Euro","South_Korea_Dolar","South_Korea_Euro","New_Zealand_Dolar","New_Zealand_Euro","USA_California_Dolar","USA_California_Euro"
43,2010,2,41312,1215,1332.1,39.11,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
43,2010,3,18933,17455,34.9,2.4,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
43,2010,4,15550,14547,31.9,1.07,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
43,2010,5,4318,4073,3.3,0,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
43,2010,6,3053,28,137.3,0.46,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
50,2010,1,61661,17928,1536.6,36.85,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
50,2010,2,42154,899,1451.3,34.77,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
50,2010,3,5929,5649,6.4,0.47,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
50,2010,4,12153,10863,39.5,1.48,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
50,2010,5,584,515,1.1,0.02,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
50,2010,6,841,2,38.4,0.11,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
51,2010,1,81603,23261,1965,54.93,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
51,2010,2,57277,2030,1858.7,52.3,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
51,2010,3,6876,6542,7.5,0.57,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
51,2010,4,16048,14208,59.2,1.92,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
51,2010,5,511,461,NA,NA,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
51,2010,6,892,19,39.5,0.14,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
52,2010,1,72201,26001,1558.4,43.15,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
52,2010,2,43477,1295,1414.8,40.23,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
52,2010,3,12237,11445,17.9,1.35,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
52,2010,4,13537,12375,35.9,1.31,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
52,2010,5,973,875,0,NA,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
52,2010,6,1976,11,89.7,0.26,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
53,2010,1,6679,4758,75,0.98,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
53,2010,2,467,22,12.9,0.56,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
53,2010,3,3867,3684,4.4,0.29,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
53,2010,4,-130,-141,0.3,0.01,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
53,2010,5,1234,1192,NA,NA,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
53,2010,6,1241,1,57.5,0.11,NA,NA,NA,NA,NA,NA,18.24378,13.8,NA,NA,NA,NA,15.18497019,11.48624839,NA,NA
11,2011,1,63714,40798,825.6,17.9,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
11,2011,2,20350,157,731.4,15.6,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
11,2011,3,3139,3017,2.7,0.21,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
11,2011,4,39326,37296,66.9,2.01,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
11,2011,5,339,309,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
11,2011,6,560,19,24.6,0.07,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
12,2011,1,14789,9616,187.1,3.97,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
12,2011,2,4189,30,152.3,3.1,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
12,2011,3,813,780,0.9,0.05,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
12,2011,4,9575,8783,26.1,0.79,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
12,2011,5,27,12,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
12,2011,6,186,11,7.8,0.03,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
13,2011,1,-83790,-89509,199.5,4.72,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
13,2011,2,2766,40,93.8,2.44,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
13,2011,3,16027,15473,13.6,0.87,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
13,2011,4,-104310,-105561,41.2,1.24,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
13,2011,5,546,478,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
13,2011,6,1182,61,50.8,0.17,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
14,2011,1,-8721,-10655,70.6,1.43,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
14,2011,2,1288,12,46.1,0.99,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
14,2011,3,495,475,0.5,0.03,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
14,2011,4,-10773,-11161,12.8,0.38,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
14,2011,5,19,10,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
14,2011,6,250,8,11.2,0.02,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
15,2011,1,179246,136356,1502.7,35.81,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
15,2011,2,32006,235,1128.9,26.01,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
15,2011,3,14196,13785,9.6,0.68,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
15,2011,4,128962,120202,288.8,8.69,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
15,2011,5,2291,1988,2.6,0.05,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
15,2011,6,1792,146,72.8,0.38,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
16,2011,1,-5628,-6745,38.7,0.94,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
16,2011,2,673,6,22.6,0.62,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
16,2011,3,1626,1590,0.8,0.06,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
16,2011,4,-8124,-8356,7.6,0.23,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
16,2011,5,24,11,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
16,2011,6,173,3,7.7,0.03,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
17,2011,1,39189,23135,569.7,13.11,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
17,2011,2,14512,301,507,11.49,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
17,2011,3,2553,2439,2.4,0.2,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
17,2011,4,21391,20155,38.9,1.35,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
17,2011,5,254,228,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
17,2011,6,480,12,21.3,0.07,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
21,2011,1,104058,84962,650,16.91,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
21,2011,2,13663,24,465.4,12.47,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
21,2011,3,7255,6924,7,0.6,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
21,2011,4,80346,76983,108.8,3.48,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
21,2011,5,1209,959,1.7,0.03,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
21,2011,6,1584,73,67.1,0.33,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
22,2011,1,25454,19400,203.7,5.54,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
22,2011,2,4557,321,138.4,4.29,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
22,2011,3,2251,2106,4,0.2,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
22,2011,4,17439,16622,25.9,0.89,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
22,2011,5,332,272,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
22,2011,6,876,79,35.5,0.17,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
23,2011,1,20683,11932,314.7,6.38,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
23,2011,2,6379,432,203.9,5.37,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
23,2011,3,7210,6811,11.8,0.49,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
23,2011,4,3536,3412,4.1,0.12,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
23,2011,5,1332,1168,0,0,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
23,2011,6,2226,108,94.9,0.4,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
24,2011,1,8940,5414,126.6,2.6,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
24,2011,2,2314,82,75.1,2.11,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
24,2011,3,4438,4144,9.4,0.31,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
24,2011,4,856,827,1,0.03,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
24,2011,5,397,336,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
24,2011,6,936,25,41.2,0.15,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
25,2011,1,9145,4930,151.9,3.07,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
25,2011,2,2907,126,93.6,2.63,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
25,2011,3,3285,3085,6,0.24,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
25,2011,4,924,893,1,0.03,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
25,2011,5,861,789,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
25,2011,6,1168,38,51.3,0.17,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
26,2011,1,24426,15215,319.4,7.53,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
26,2011,2,6062,23,194.1,6.33,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
26,2011,3,13412,12879,14.2,0.75,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
26,2011,4,1361,1312,1.6,0.05,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
26,2011,5,1105,935,0,0,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
26,2011,6,2486,65,109.5,0.4,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
27,2011,1,7890,3802,132.1,4.04,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
27,2011,2,2924,27,85.1,3.58,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
27,2011,3,3427,3212,5.8,0.3,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
27,2011,4,186,177,0.3,0.01,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
27,2011,5,403,343,0,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
27,2011,6,949,44,40.9,0.15,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
28,2011,1,8073,4886,106.9,2.91,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
28,2011,2,2501,95,77.5,2.52,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
28,2011,3,3690,3452,6.9,0.3,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
28,2011,4,64,61,0.1,0,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
28,2011,5,1298,1258,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
28,2011,6,520,20,22.5,0.09,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
29,2011,1,78015,49032,952.2,28.12,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
29,2011,2,23096,549,716.1,24.22,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
29,2011,3,23981,22822,29.7,1.73,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
29,2011,4,22980,21564,44.8,1.53,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
29,2011,5,4341,3968,4.9,0,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
29,2011,6,3618,128,156.7,0.64,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
31,2011,1,136722,75600,1928.5,64.97,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
31,2011,2,53698,2538,1559.6,59.38,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
31,2011,3,36651,34863,39.6,3.08,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
31,2011,4,16862,15810,33.1,1.15,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
31,2011,5,23405,22297,21.8,0.54,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
31,2011,6,6106,91,274.4,0.82,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
32,2011,1,31421,24327,224.8,7.44,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
32,2011,2,4937,157,140.7,5.89,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
32,2011,3,16342,15354,28.6,1.25,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
32,2011,4,316,226,3,0.09,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
32,2011,5,8723,8578,2.9,0.05,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
32,2011,6,1103,12,49.7,0.15,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
33,2011,1,80785,65748,578.7,8.31,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
33,2011,2,4584,37,144.9,4.85,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
33,2011,3,52987,49516,123.8,2.81,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
33,2011,4,-128,-147,0.6,0.02,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
33,2011,5,16687,16325,2.5,0,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
33,2011,6,6655,17,306.8,0.63,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
35,2011,1,145121,97146,1338.9,60.78,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
35,2011,2,33328,2434,716.4,51.13,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
35,2011,3,89554,85389,95.4,6.98,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
35,2011,4,-6977,-7236,8.2,0.28,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
35,2011,5,17846,16516,2.8,0.82,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
35,2011,6,11370,42,516.2,1.57,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
41,2011,1,47431,16104,863.7,41.9,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
41,2011,2,28025,1600,675.6,39.47,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
41,2011,3,21523,20379,26.7,1.88,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
41,2011,4,-9064,-9160,3.2,0.1,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
41,2011,5,3455,3253,0,0,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
41,2011,6,3493,31,158.2,0.45,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
42,2011,1,24427,8819,503.8,15.83,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
42,2011,2,12711,534,368.6,14.31,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
42,2011,3,15222,13702,54.9,1.18,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
42,2011,4,-6248,-6307,2,0.06,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
42,2011,5,994,874,NA,NA,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
42,2011,6,1748,18,78.4,0.27,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
43,2011,1,75681,29160,1561,43.66,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
43,2011,2,42847,1553,1369.2,40.45,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
43,2011,3,19896,18436,33.4,2.45,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
43,2011,4,5003,4732,8.4,0.3,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
43,2011,5,4697,4414,3.7,0,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
43,2011,6,3238,25,146.3,0.46,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
50,2011,1,55994,15273,1408.8,35.77,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
50,2011,2,39886,992,1343.6,34.45,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
50,2011,3,5553,5272,6,0.5,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
50,2011,4,9038,8452,17.7,0.69,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
50,2011,5,628,551,1.1,0.02,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
50,2011,6,888,6,40.4,0.11,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
51,2011,1,160619,99848,2003.8,60.11,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
51,2011,2,57710,2804,1807.7,54.66,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
51,2011,3,7384,7049,7,0.61,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
51,2011,4,93985,89438,147.1,4.7,NA,NA,NA,NA,NA,NA,8.90903619,6.76,NA,NA,NA,NA,7.308386193,5.545458522,NA,NA
